0.9017467248908297
class4,p
II,0.9938823870721242
nonevent,0.09765832829987339
nonevent,0.15104968173724073
Ib,0.9491825578587249
nonevent,0.13750114556032533
II,0.885279635187078
nonevent,0.043436353757530445
II,0.9853652850358887
nonevent,0.0358688993675072
II,0.9517636844928893
II,0.520166709637617
nonevent,0.06847477112240494
nonevent,0.005430299785129469
nonevent,0.42003515295305627
nonevent,0.10167163822260472
II,0.8905608219736357
Ib,0.9600107679763189
nonevent,0.05296308488971003
Ib,0.99001986264565
Ib,0.9203145873183178
nonevent,0.06057121401267219
II,0.6583944017817764
Ib,0.9924197951248004
nonevent,0.2378085452531988
II,0.9948654162835097
nonevent,0.3555062337501714
nonevent,0.1896316333906877
II,0.9497314044055688
II,0.9212105475065092
nonevent,0.028167060173718672
II,0.6715967660464416
nonevent,0.04547497148427287
nonevent,0.012511563222471267
nonevent,0.03422830787560774
nonevent,0.4277678662174914
II,0.9807827728072037
II,0.991647938802564
nonevent,0.04047300889375844
Ib,0.9663841991199706
nonevent,0.2157788181023435
II,0.7927541710069672
nonevent,0.2075026400908186
II,0.9731745886361448
II,0.9681351274177977
II,0.501219110512913
nonevent,0.08304347589905943
nonevent,0.07292256709478455
nonevent,0.10121252959824627
nonevent,0.04802807344312294
II,0.997297063959266
Ib,0.9791148448744333
nonevent,0.1346828414694878
nonevent,0.010033944512716345
Ib,0.9543714801243798
Ib,0.8602655327330522
II,0.9255436399954579
II,0.5469330967908579
nonevent,0.013660406886489814
Ib,0.8953441233852084
Ib,0.8209020463641512
Ib,0.7803556036453302
nonevent,0.08939332351733771
nonevent,0.10710341291264354
nonevent,0.3784232249770204
nonevent,0.009941140412435892
nonevent,0.09445768185412684
Ib,0.9455870780679306
II,0.783406138153115
nonevent,0.08741012144689417
nonevent,0.021222935111621214
nonevent,0.22905154850949927
nonevent,0.0029705252912567
nonevent,0.016213125780353946
nonevent,0.11423740640870099
II,0.9908154933878424
nonevent,0.12236945718593997
nonevent,0.026797252513113674
II,0.9652741108671291
II,0.8816693505590139
II,0.9927739338230523
Ib,0.910245937891807
Ib,0.8742560624530913
Ib,0.9254590068537922
nonevent,0.11412735563719212
nonevent,0.1367198183910802
nonevent,0.10882785295248887
II,0.9142811125095459
II,0.9370450599991978
nonevent,0.02985491486790398
II,0.9886769297222396
nonevent,0.00444142468032073
II,0.5801897722892014
nonevent,0.29011584389584283
II,0.9185232681328825
nonevent,0.39737626839476714
nonevent,0.08156979689716695
nonevent,0.3880550425703894
II,0.8201910502053977
nonevent,0.12563934552284728
nonevent,0.05356254365672125
nonevent,0.03611522108210035
II,0.9062515924146368
II,0.9770271202511072
nonevent,0.01813371351132003
nonevent,0.1418082495756574
nonevent,0.21815548646148417
Ib,0.7489410427730573
Ib,0.9693156393408899
II,0.8963368961946662
II,0.7285371828897396
II,0.9795397502702722
II,0.7111957955909192
nonevent,0.12348352831337168
nonevent,0.19236640768015753
nonevent,0.021574245649085184
II,0.8310013982512658
Ib,0.9321847539581177
II,0.923473611638952
nonevent,0.02785429000315912
II,0.9016292424265466
II,0.9850515042454383
nonevent,0.37603231628558936
Ib,0.9478217073982981
nonevent,0.06340805375499506
Ib,0.927541890862886
Ib,0.6642595812199471
II,0.7607926285464981
nonevent,0.05815652939446358
nonevent,0.12060806392318019
nonevent,0.06191048603417571
nonevent,0.016549777525792668
nonevent,0.1458661834503606
nonevent,0.2687534461131177
nonevent,0.01985849675823876
nonevent,0.07250629324705314
II,0.8424471717004679
nonevent,0.25988803370254254
nonevent,0.024409421122908274
II,0.9915731625968005
II,0.913055544873187
II,0.7712785385907994
II,0.9707890053665615
II,0.892023216131243
nonevent,0.0871366072819242
nonevent,0.009461951805973782
Ib,0.829390417982173
II,0.9980079245480269
nonevent,0.008881208162040875
nonevent,0.019496874106499078
nonevent,0.02405145595793619
Ib,0.965026536209386
nonevent,0.14652558922939035
nonevent,0.4485673165667669
II,0.5068024911389365
II,0.9048624415493857
Ib,0.9119468206651509
nonevent,0.3591591552556654
II,0.9303160231903511
nonevent,0.043762806874610066
nonevent,0.2738326799870024
nonevent,0.005613496272279727
Ib,0.9421131855614167
nonevent,0.11466470318326553
II,0.8928641636494365
nonevent,0.1024366398760758
II,0.9612172993012027
nonevent,0.024858353151970013
nonevent,0.12168190195945866
II,0.7046521785197439
nonevent,0.16436110337912815
nonevent,0.17642278310472193
nonevent,0.24673990623420153
nonevent,0.08529753396724471
nonevent,0.14619095329386234
II,0.9871838714537985
nonevent,0.2685516751977522
II,0.8588653211436991
II,0.9229349213497422
nonevent,0.0160232380038105
nonevent,0.4720885613906225
II,0.9303503125048825
II,0.9883199502741191
II,0.9594391993505434
II,0.6835320189867412
Ib,0.9862238914793502
nonevent,0.06666293548609734
nonevent,0.050891691077342545
nonevent,0.02795602372494632
II,0.9867625780597776
II,0.7915388711393027
II,0.9282005807079428
II,0.9685086501955567
nonevent,0.2918999971042197
II,0.9307477937956976
nonevent,0.115644819473885
nonevent,0.044626941331134165
nonevent,0.025681022105927386
nonevent,0.1056488005371168
Ib,0.9785277674354655
nonevent,0.2801192541990465
nonevent,0.13678847238340755
nonevent,0.15987223279325247
nonevent,0.028704509764114584
Ib,0.9811623797124754
II,0.9565956509492628
nonevent,0.056754195128549775
II,0.7024643116692785
II,0.9602276077885384
II,0.9801465407929946
nonevent,0.22258120938508258
II,0.7322894595499715
II,0.9939862949640613
II,0.9670577039236454
nonevent,0.115475269954791
II,0.6123990400756018
Ib,0.975329972197227
Ib,0.9678570555830386
Ib,0.8846688014272045
Ib,0.9950713700296424
nonevent,0.4782429025401291
II,0.92052244942134
nonevent,0.011329464452247657
nonevent,0.04642336870932727
nonevent,0.2399914272137823
nonevent,0.039821097318509226
nonevent,0.0760280725436746
nonevent,0.3265515909654337
nonevent,0.17737181636052396
II,0.6573156332308607
nonevent,0.0973092593438978
II,0.7346963063849252
nonevent,0.0515028378095165
nonevent,0.1173716272199729
nonevent,0.02323672509434672
II,0.877384010619977
II,0.9846330991272946
II,0.8411929048695707
nonevent,0.0917501459286576
nonevent,0.13182399172988243
nonevent,0.35090221214090284
nonevent,0.04126303357707735
II,0.9675390989374716
II,0.9582553287077796
nonevent,0.279225729603087
nonevent,0.008862316691495216
II,0.9002720007495643
II,0.977113361254449
nonevent,0.13945521465925795
nonevent,0.21165149265157854
II,0.8703029394650774
nonevent,0.0246400745132694
II,0.8418259837308543
Ib,0.917502976689428
nonevent,0.08578437161680284
nonevent,0.1367692928418773
Ib,0.9941779129726205
II,0.9766935764984536
II,0.5678013950535626
II,0.9644693076823936
nonevent,0.16720962601843342
II,0.9537922137654657
Ib,0.9872502210011492
II,0.9209824168366952
II,0.6384650573723698
nonevent,0.16938173291600592
Ib,0.983411406400981
nonevent,0.28960285467017416
II,0.8997043268594286
Ib,0.8480723091131542
nonevent,0.1505554988533955
nonevent,0.4353920793628162
II,0.8339796487716062
nonevent,0.24009140529535467
Ib,0.9058840293264013
II,0.994910588358738
Ib,0.9367669891075786
II,0.9668614304013643
Ia,0.7609308716626659
nonevent,0.018895750361350296
nonevent,0.027912613826915535
nonevent,0.18847902952254042
Ib,0.9929829028604575
II,0.9529393514636884
Ib,0.9991184908657328
II,0.6986392096030125
nonevent,0.027974821167802102
nonevent,0.04064741531335451
nonevent,0.01411780955234324
Ib,0.9967296989586315
nonevent,0.33324843683893324
nonevent,0.17573761386540102
nonevent,0.49928440192440093
II,0.9902573506234414
nonevent,0.1634388689112735
nonevent,0.025424176008968236
II,0.9454930908722902
nonevent,0.02497686076709921
nonevent,0.016917866370052555
nonevent,0.028187595051989693
nonevent,0.05061131648744451
nonevent,0.007479965577953713
II,0.9773865682932554
Ib,0.8425815770200373
II,0.8523987884275109
Ib,0.924769054860484
nonevent,0.21581548462108613
II,0.9237144831568934
nonevent,0.08631806349215333
II,0.9527783940965567
Ib,0.9753442680744356
II,0.987983633900606
II,0.9846913431860977
nonevent,0.059698630791374586
II,0.8857335063189281
Ia,0.6107231207030187
nonevent,0.01278271319136079
Ib,0.812111185382241
II,0.9919883459453293
II,0.7434162334247321
nonevent,0.07839287030285048
nonevent,0.06339795029128892
nonevent,0.13143551794530328
II,0.8097229776180035
II,0.9044939387246624
nonevent,0.10155527721427741
nonevent,0.16174580644930744
II,0.8470666127742629
nonevent,0.03151016590165746
II,0.9944741119406263
Ib,0.9212000730759302
nonevent,0.15178069574542793
nonevent,0.07278604123870465
II,0.9674640668166977
nonevent,0.016886032501607976
nonevent,0.2204443714959072
nonevent,0.15341152042491257
Ib,0.8447398508831109
nonevent,0.30328047593508034
II,0.9080341863073956
nonevent,0.18155613897697842
nonevent,0.025171936546769014
II,0.7337177805035208
Ib,0.9759764887065251
nonevent,0.36190293561332937
Ib,0.9970099036974958
Ib,0.9404704168820643
II,0.5355367386839602
II,0.5240120151537572
nonevent,0.13910661310724165
II,0.8889232337878441
nonevent,0.24846682673353845
Ib,0.9755207459854128
nonevent,0.06942873593450388
II,0.9816956165778664
nonevent,0.4749360059478652
II,0.9730099620288785
nonevent,0.19498797523214023
Ib,0.9800799474447833
nonevent,0.4111574819596896
nonevent,0.29552857951004297
nonevent,0.011763191275850737
II,0.9649482383180465
II,0.9425936097407007
nonevent,0.08776883821427188
II,0.684597002149571
Ib,0.7134139573289829
nonevent,0.03626255791005012
nonevent,0.18666184800391106
nonevent,0.3385823408584312
Ib,0.9901259256301942
II,0.6126979830281089
nonevent,0.10525856502825973
nonevent,0.19591976948264012
nonevent,0.04723064917416763
nonevent,0.06856627720788507
nonevent,0.024569940841813354
Ib,0.9218298655228404
Ib,0.9699603379150318
nonevent,0.2409301461545799
nonevent,0.03511774525066815
nonevent,0.14586128495988568
nonevent,0.054488684310731936
nonevent,0.00830065763710145
II,0.9405971569532814
nonevent,0.1426332553331533
nonevent,0.06483689868603978
nonevent,0.07879385810593723
Ib,0.9962412083883868
II,0.530110424732351
nonevent,0.4896906665901918
nonevent,0.1468431160971135
nonevent,0.16735992850008943
nonevent,0.14434785303095202
II,0.8171908379553744
Ib,0.8399918281915263
Ia,0.8900792251966072
Ib,0.9841533302543856
Ib,0.5212700183970401
II,0.9266649926195147
nonevent,0.04940755922936231
nonevent,0.450668502351246
nonevent,0.25762506560375814
II,0.7198826453612026
nonevent,0.11033632795395427
nonevent,0.017307995260656055
nonevent,0.05480575091300099
Ib,0.7494100588997197
nonevent,0.2586102316016902
II,0.9267334921730118
II,0.9749803585325577
nonevent,0.41941567223825627
II,0.6904602642587137
nonevent,0.028760383678438486
nonevent,0.06713112797413018
nonevent,0.17288769631776313
nonevent,0.16473706197466442
nonevent,0.1405221578626131
nonevent,0.03263839309228249
nonevent,0.016945669006012163
nonevent,0.16355595706923853
nonevent,0.013549768783026741
II,0.8649377449551394
nonevent,0.004484153128735221
nonevent,0.021674086290490915
II,0.6967425758375254
nonevent,0.26988464073981355
nonevent,0.2518017155338245
nonevent,0.06355340704023098
II,0.5867437030783859
Ia,0.9629241282989387
nonevent,0.12249619536920904
Ib,0.9486467992328455
nonevent,0.24442480285528495
nonevent,0.46793158606063157
nonevent,0.011380933819429217
nonevent,0.019651541967144002
nonevent,0.07484603354200141
nonevent,0.2280082108849601
Ib,0.9500350986683643
Ib,0.6638689883535338
II,0.9789382202244556
nonevent,0.05570568828199444
Ib,0.7394432416535296
nonevent,0.18429007069697834
Ib,0.9344649734059665
nonevent,0.1289624934513244
Ib,0.9906737746032008
nonevent,0.07619760822690469
II,0.9223173256477056
nonevent,0.05616519230573805
nonevent,0.027674695888585114
nonevent,0.25645565743958504
II,0.6207980057576193
II,0.8163741431557681
nonevent,0.48644744220629355
nonevent,0.2670075306158037
nonevent,0.2612850725801533
Ib,0.9931719653965156
nonevent,0.15573161914612682
nonevent,0.05973170179623321
Ib,0.985928073022843
nonevent,0.0513066186049682
Ia,0.8935170995176795
II,0.9465816144920751
II,0.9490475201817803
II,0.9820864148981149
nonevent,0.002900711379859452
II,0.8264561161937405
II,0.616021948719529
nonevent,0.03877858389938096
nonevent,0.03653770069840279
nonevent,0.3511349593048697
nonevent,0.038417058301120674
nonevent,0.10534560414435491
Ib,0.9233327204548631
Ib,0.9532600193392592
nonevent,0.1609113853035604
II,0.9940258875607344
nonevent,0.004246719246610307
Ib,0.9556235112153413
Ia,0.7626961391264605
nonevent,0.05188454292858978
nonevent,0.24503232328539729
nonevent,0.06206981246524837
nonevent,0.4853551408028934
nonevent,0.4199513135541267
nonevent,0.007518046517091712
nonevent,0.021474089661368316
nonevent,0.21620610567333767
nonevent,0.2186925442759264
II,0.9917339232723885
nonevent,0.005940949475463401
II,0.9672376824996692
nonevent,0.27112592565073984
nonevent,0.07005319164400016
Ib,0.978503749791706
Ib,0.8736822073625158
nonevent,0.028549484584834212
Ia,0.5418057291789435
nonevent,0.007465447793439852
II,0.7819873203860606
nonevent,0.2755092211532007
nonevent,0.0969223696994953
II,0.9400391172482051
nonevent,0.10814669433225006
II,0.9368041606680351
nonevent,0.040354870499093025
nonevent,0.20216940652961735
II,0.826143342774902
II,0.8491275784685683
Ia,0.7109693223099741
II,0.9906891641627847
nonevent,0.040565218835252485
nonevent,0.018092379965005272
nonevent,0.03442107299427918
II,0.9948489939320179
Ib,0.9672213251545568
Ib,0.9397596433532842
nonevent,0.07780951627920908
nonevent,0.06771443719374526
nonevent,0.03829967973339354
Ib,0.8792314577227336
Ib,0.9917203614683684
II,0.6116139251562315
nonevent,0.028498545977207548
nonevent,0.09460456929730854
Ib,0.9939575301291099
nonevent,0.03767262443633751
nonevent,0.18443890502365498
nonevent,0.2162332788171715
nonevent,0.13782567299642107
nonevent,0.022711132672044543
II,0.9865898108696519
nonevent,0.15438663154690163
II,0.9910681591067523
II,0.8553500870626889
nonevent,0.007422600381963294
nonevent,0.24246276382367796
Ib,0.9743653803416528
II,0.8719737671330889
II,0.7932796945651435
nonevent,0.23024725534313273
nonevent,0.16967573480089942
II,0.9485536953411174
II,0.8020706515426811
II,0.8940724762388094
nonevent,0.19329504294359576
Ib,0.7829136218667201
II,0.9783592141772302
nonevent,0.057809575520627265
Ib,0.973029295847277
nonevent,0.4855903219915548
nonevent,0.03882947148471171
II,0.6491854496525828
Ib,0.9433556659312796
nonevent,0.22617265921494906
nonevent,0.05704068410543869
II,0.9434824928282517
II,0.9755951587911885
nonevent,0.09267512246416673
II,0.8870797985399789
II,0.5988096133255518
Ib,0.982483830216394
II,0.9902762191355721
nonevent,0.03948195296395394
nonevent,0.1089795374926057
II,0.8000315308745214
nonevent,0.2555706704890281
Ib,0.9240713334170807
nonevent,0.18038313483518392
II,0.7023951768116188
nonevent,0.022787308071720126
II,0.8040663702997999
II,0.9648631716475622
nonevent,0.07823966513661729
nonevent,0.025819304227655424
nonevent,0.16590673514293808
Ib,0.6057861780584642
Ib,0.52527602931322
nonevent,0.32222365475304127
II,0.5356471564828242
II,0.9319094638256674
Ib,0.9858058035939185
Ib,0.9767113274747253
nonevent,0.10110768169452998
nonevent,0.1550712976001405
nonevent,0.0027864973649110074
Ib,0.837600818228875
II,0.9882198467841119
nonevent,0.38323425836256725
nonevent,0.15327437190612173
nonevent,0.46156596802362054
II,0.6532445072373122
Ib,0.9787587306921876
II,0.9341519233777144
II,0.9977743733867153
nonevent,0.21728539821485898
nonevent,0.053176995082021054
II,0.9882213250654515
II,0.9659209925505581
nonevent,0.27244135477547626
Ib,0.9658976612273544
Ib,0.9084536121484037
II,0.9739128098419252
II,0.7221293090704299
II,0.9793151465176078
II,0.7495355840572598
II,0.9751923110535106
II,0.9974224175089818
nonevent,0.032946893876147326
nonevent,0.24544022543567123
II,0.9738028257521967
Ib,0.9492485714714503
nonevent,0.11170857046076242
Ib,0.9866831426126406
Ib,0.7999326842304889
nonevent,0.08959834818377704
Ib,0.9167328658786654
II,0.9737276009087426
nonevent,0.11067931706334765
nonevent,0.3677727584957994
nonevent,0.1698123499911927
nonevent,0.061023900183004305
II,0.9960446015793765
II,0.9916859332328328
II,0.9747906649128898
nonevent,0.14234546655089791
nonevent,0.04107823105085319
II,0.5311208375916889
nonevent,0.031121776862271567
nonevent,0.13419842826062794
nonevent,0.01912919722365465
Ib,0.9800382892697143
Ib,0.5201951882785997
nonevent,0.15266044702685405
nonevent,0.3455693869331354
nonevent,0.07025350520916039
nonevent,0.06417142369642971
nonevent,0.06658088809331815
II,0.9961263266649926
nonevent,0.017788661189783055
II,0.9194541790956342
II,0.5303375594035197
II,0.9667740928792816
Ib,0.9639066168535122
nonevent,0.17858944055603854
nonevent,0.2911965872298251
II,0.9445891592055562
nonevent,0.08469622192872842
nonevent,0.38239507554778285
nonevent,0.13946123377457081
nonevent,0.05037637985738266
nonevent,0.30903435031509774
nonevent,0.06404841087072906
Ib,0.6786103391687832
nonevent,0.1097684425563125
nonevent,0.14295844797659343
II,0.9499182807686272
Ib,0.9023027301145006
nonevent,0.12402392669244819
nonevent,0.353408213916856
nonevent,0.1815291661452767
nonevent,0.07470831556364184
nonevent,0.0685125081509632
II,0.9696141526327741
nonevent,0.20682052392409103
nonevent,0.1393112337005165
II,0.9594712472861188
Ib,0.9500312739348579
nonevent,0.08048241269213546
nonevent,0.07695930917811875
nonevent,0.039053026870007675
nonevent,0.3117976407946404
nonevent,0.031148686749363545
II,0.9817979784284888
nonevent,0.056731666891177174
II,0.9560585385043157
II,0.84145956683856
Ib,0.845345725398108
II,0.6095122633712382
nonevent,0.23270210094098995
nonevent,0.045429332181022526
nonevent,0.015907975892538003
nonevent,0.17251131037317333
II,0.9600714658059327
nonevent,0.012085689623440888
II,0.9969229922694979
II,0.5831334397989886
nonevent,0.04121700093682354
nonevent,0.03131361127293716
II,0.9908302953695682
nonevent,0.01206869166654661
nonevent,0.041223518655567275
nonevent,0.025720867020914084
Ib,0.9021802609730851
nonevent,0.44510358146397777
II,0.9652592442593496
Ib,0.9559773601059166
Ib,0.8706744832391827
II,0.7701228931348871
nonevent,0.061203788663752326
nonevent,0.10801391171438149
nonevent,0.06578291553450605
Ib,0.9123298639512875
II,0.9534824440421905
Ib,0.9862307654388317
Ib,0.9962271489801859
nonevent,0.3606271249079059
nonevent,0.162039489964588
II,0.9278182406950609
II,0.8526298041939786
nonevent,0.19150188565413911
nonevent,0.007883280910107433
II,0.9822655733368801
II,0.5519979908579055
II,0.9389936667741291
Ib,0.7426880027019334
nonevent,0.12186011875847821
nonevent,0.0634287759428367
nonevent,0.1773012035114057
Ib,0.9814222690412723
nonevent,0.0367968178872041
nonevent,0.11391926871492407
nonevent,0.009285947737204835
Ib,0.9533187304654258
nonevent,0.046222312415630344
nonevent,0.15524343323540682
II,0.9369710411720431
nonevent,0.1678009073040033
Ia,0.8025526270080393
nonevent,0.055929284234392126
nonevent,0.027160373177821433
Ib,0.9956840109885233
nonevent,0.05178014721590886
II,0.859852298321007
II,0.9751627149446734
nonevent,0.04993033810595901
II,0.8066825838733281
nonevent,0.2761310253316147
II,0.8553087750003604
Ib,0.9328636622147721
II,0.934600334302908
II,0.6524667244910654
Ia,0.5751035670201321
nonevent,0.026012477408476193
Ib,0.9390238144466185
nonevent,0.1758754487233195
nonevent,0.06903391575046457
nonevent,0.009416974149382662
nonevent,0.041170825979368574
nonevent,0.049704014112692894
nonevent,0.00365388417815513
II,0.9752138421002498
II,0.9393041131266943
nonevent,0.32005714791445394
II,0.9860418268528586
nonevent,0.24532740290124921
II,0.6913807345656895
II,0.690728388089924
nonevent,0.09677190767467145
Ib,0.9735320901427739
II,0.983350613928403
II,0.9689683388544744
nonevent,0.06541048753460961
nonevent,0.33150749559811543
nonevent,0.4417294414734379
nonevent,0.09546235951334754
II,0.9855999710831012
II,0.9754218600896561
II,0.9215243804366996
II,0.9583133697418925
nonevent,0.08519084505032849
nonevent,0.18577127720216305
nonevent,0.12011299892873518
nonevent,0.04210986326338224
II,0.9543232993097323
nonevent,0.08621865800619259
II,0.986812179322804
II,0.5700554372784846
II,0.9520767413384545
nonevent,0.26588419516482165
nonevent,0.43677729955514566
nonevent,0.2360575328870072
nonevent,0.3656045862870817
nonevent,0.20624274069991866
II,0.6014160767302119
nonevent,0.20672602146377644
nonevent,0.22814482476568895
nonevent,0.27087813140748995
II,0.9437870172265778
nonevent,0.0921153960198992
II,0.5966022214847905
nonevent,0.12488833372601671
nonevent,0.0429662309624693
nonevent,0.030724150020105603
nonevent,0.06813563359425935
II,0.968337187224989
nonevent,0.0792946367027438
II,0.6838158036804077
nonevent,0.03491743201348426
II,0.908323861555085
nonevent,0.1213000077224903
Ib,0.9436991276281768
nonevent,0.01616338318390247
II,0.9550448570512039
nonevent,0.31894357270217916
Ib,0.9224119770514901
nonevent,0.10686306559156199
nonevent,0.18266357465647498
II,0.962231364085044
nonevent,0.17311803039496343
II,0.9982211148087764
II,0.8721246396163643
nonevent,0.028729952553792956
nonevent,0.03961957715508087
II,0.9947289586728789
nonevent,0.0639957692804569
nonevent,0.028984187680971423
nonevent,0.09590491520553493
nonevent,0.010189038536003317
nonevent,0.08840749113854089
II,0.8093287116755753
Ib,0.9488739634394129
nonevent,0.01194419260473535
nonevent,0.17852657915044598
II,0.9754487975672267
nonevent,0.23512044900367635
II,0.9853604606414802
nonevent,0.22819977065843436
nonevent,0.1961533602382237
II,0.7030684698590622
Ib,0.9550133031627789
nonevent,0.401912147035359
II,0.5184918041062722
II,0.8857734492996633
II,0.9893992363961428
II,0.9967543500716073
nonevent,0.03375830583590715
II,0.8027172877560118
nonevent,0.020303967852136895
nonevent,0.3828761864065441
II,0.9935996137084746
nonevent,0.055907930643307145
nonevent,0.21633501273635208
nonevent,0.1019208983508672
II,0.9334194358777838
nonevent,0.03638377906812015
nonevent,0.2109673210133906
Ib,0.8613540626584213
nonevent,0.34673610713594727
nonevent,0.4567470954517925
II,0.972045959308692
nonevent,0.03510822494011644
II,0.9957262029125576
II,0.970971825926947
II,0.9450394673727803
nonevent,0.06145236684115958
Ib,0.9203442599918913
nonevent,0.07355488687184271
nonevent,0.13276794147141083
Ib,0.9538372770046659
nonevent,0.3020423890188523
nonevent,0.05506850719012814
Ib,0.9517348228804094
II,0.9788224898317357
nonevent,0.10206403612091723
